Feature,Average Ranking,Rank,Cluster
URLSimilarityIndex,1.0,1,14
HasSocialNet,5.333333,2,14
LineOfCode,5.333333,3,11
NoOfExternalRef,5.333333,4,10
NoOfSelfRef,6.333333,5,10
NoOfImage,7.0,6,12
HasCopyrightInfo,7.333333,7,14
NoOfJS,7.666667,8,22
HasDescription,8.333333,9,14
IsHTTPS,9.0,10,17
DomainTitleMatchScore,9.333333,11,15
NoOfCSS,9.333333,12,30
URLTitleMatchScore,9.666667,13,15
HasSubmitButton,10.0,14,16
NoOfOtherSpecialCharsInURL,10.333333,15,3
SpacialCharRatioInURL,10.333333,16,15
HasFavicon,10.666667,17,20
URLLength,10.666667,18,3
